#ASV ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_5069,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Terrimicrobiaceae,g__Terrimicrobium,s__Terrimicrobium_sacchariphilum
ASV_5070,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Falkowbacteria,f__Candidatus_Falkowbacteria,g__Candidatus_Falkowbacteria,
ASV_5071,d__Bacteria,p__Campilobacterota,c__Campylobacteria,o__Campylobacterales,f__Helicobacteraceae,g__Helicobacter,s__Helicobacter_ganmani
ASV_5072,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__Blastocatellales,f__Blastocatellaceae,g__uncultured,s__metagenome
ASV_5073,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Rubritaleaceae,g__Luteolibacter,s__uncultured_Verrucomicrobiales
ASV_5074,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Chromatiales,f__Chromatiaceae,g__uncultured,s__uncultured_bacterium
ASV_5075,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Marinifilaceae,g__Odoribacter,
ASV_5076,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Planococcus,s__uncultured_bacterium
ASV_5077,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,,
ASV_5078,d__Bacteria,p__Patescibacteria,c__Parcubacteria,o__Parcubacteria,f__Parcubacteria,g__Parcubacteria,s__uncultured_Parcubacteria
ASV_5079,d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Oscillospirales,g__Hydrogenoanaerobacterium,s__uncultured_bacterium
ASV_5080,d__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_sensu_stricto_11,
ASV_5081,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Lacimonas,s__bacterium
ASV_5082,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Nocardioidaceae,g__Nocardioides,
ASV_5083,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Uhrbacteria,f__Candidatus_Uhrbacteria,g__Candidatus_Uhrbacteria,
ASV_5084,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__Phycisphaeraceae,g__Phycisphaera,s__uncultured_bacterium
ASV_5085,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiae,o__Chlamydiales,f__cvE6,g__cvE6,s__uncultured_Chlamydia
ASV_5086,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,
ASV_5087,d__Bacteria,p__Patescibacteria,c__ABY1,o__Candidatus_Magasanikbacteria,f__Candidatus_Magasanikbacteria,g__Candidatus_Magasanikbacteria,s__Candidatus_Falkowbacteria
ASV_5088,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Pedobacter,
ASV_5089,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,
ASV_5090,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Leptothrix,
ASV_5091,d__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Phormidesmiales,f__Nodosilineaceae,g__MBIC10086,s__Pseudanabaena_cf.
ASV_5092,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Sutterellaceae,,
ASV_5093,d__Bacteria,p__Firmicutes,c__Bacilli,o__Paenibacillales,f__Paenibacillaceae,g__Paenibacillus,s__uncultured_bacterium
ASV_5094,d__Bacteria,p__Patescibacteria,c__Parcubacteria,o__Candidatus_Staskawiczbacteria,f__Candidatus_Staskawiczbacteria,g__Candidatus_Staskawiczbacteria,s__uncultured_bacterium
